Testkonfiguration;Iteration;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Gesamtkosten;Vorgabe des Mediators
ph1in05st1de2mh0ms0rand.req;2;84.83;66.69;119.9;204.86;422.5;898.78;111111111111111111101111111011101111111011001011111011001010
ph1in06st2de2mh0ms0btlneck.req;1;644.49;24.0;3215.55;200.5;200.5;4285.04;010100000000111101101000000000000001111010010100100010011110
ph1in06st2de2mh0ms0btlneck.req;2;106.25;54.05;3524.1;200.5;200.5;4085.4;011001010101101111111101100000000000110101110000100001110011
ph1in06st2de2mh0ms0high.req;1;420.21;24.0;60.0;234.5;150.0;888.71;110001000000110001110100111101100100000110110011111011011101
ph1in06st2de2mh0ms0high.req;2;418.75;63.93;60.0;150.0;150.0;842.68;001110000000101011111100101011111010111010011000111111101100
ph1in06st2de2mh0ms0low.req;1;1109.78;694.01;918.15;1411.0;1348.25;5481.19;011010111111111110110111111111011110111111110100111111011110
ph1in06st2de2mh0ms0low.req;2;814.97;626.86;918.15;1448.75;1408.5;5217.23;111111111111111111011111011111111101110110011101111101101111
ph1in06st2de2mh0ms0rand.req;1;177.09;184.69;672.16;781.15;663.7;2478.79;001111110111111101111011111111111111101011011001111011011010
ph1in06st2de2mh0ms0rand.req;2;80.73;223.64;717.92;755.5;671.05;2448.84;111111111101101111011101011111111111111111001010111011110010
ph1in07st3de2mh0ms0btlneck.req;1;529.12;150.0;3426.75;200.5;200.5;4506.87;000011000000110111111111000000101000110010111001101011110100
ph1in07st3de2mh0ms0btlneck.req;2;1198.8;200.5;2962.0;200.5;200.5;4762.3;010000000000010000000101100000000011111101001010100000011001
ph1in07st3de2mh0ms0high.req;1;581.92;150.0;60.0;175.0;150.0;1116.92;001000000100101000000101101010110110110011010101101011000110
ph1in07st3de2mh0ms0high.req;2;332.88;150.0;60.0;150.0;150.0;842.88;100100010000100111011010100100110100110111011101100110011001
ph1in07st3de2mh0ms0low.req;1;1262.0;1290.25;768.55;1343.0;1406.0;6069.8;011111111111111111111111111111111111111111111101100111101111
ph1in07st3de2mh0ms0low.req;2;1412.48;1360.75;923.65;1401.0;1358.25;6456.13;101101111111110111110111110111110111111101010111111101111101
ph1in07st3de2mh0ms0rand.req;1;321.46;607.9;281.16;485.85;1217.85;2914.22;101111111011100001111001110111101011111011011110110111111101
ph1in07st3de2mh0ms0rand.req;2;401.54;551.4;328.92;474.4;1304.75;3061.01;110110111110110111110101111110101010111010101111000111111010
ph1in08st4de2mh0ms0btlneck.req;1;690.3;150.0;2719.25;150.0;150.0;3859.55;101000100000111000110011111011101111111111110110101011111111
ph1in08st4de2mh0ms0btlneck.req;2;514.3;150.0;2707.0;185.25;150.0;3706.55;100100010000101110110010111111011110011001010011100101010111
ph1in08st4de2mh0ms0high.req;1;484.6;150.0;150.0;150.0;182.5;1117.1;101000010000111110111100111010111111111000010000010100010000
ph1in08st4de2mh0ms0high.req;2;693.6;150.0;150.0;150.0;198.25;1341.85;001001000000101011100001111011110100101101100001100001011110
ph1in08st4de2mh0ms0low.req;1;1840.5;1325.5;1318.0;1408.5;1413.5;7306.0;111011111111111111011111111111111111101101111011111001111011
ph1in08st4de2mh0ms0low.req;2;1840.5;1330.5;1320.5;1323.0;1393.5;7208.0;111011111111111111110111111101111111111110111111011010111111
ph1in08st4de2mh0ms0rand.req;1;786.68;549.95;527.9;456.95;1335.9;3657.38;110011111101100011101110011110111000110001110001111011111111
ph1in08st4de2mh0ms0rand.req;2;1032.42;513.15;502.45;554.25;1303.5;3905.77;101110001111111110000110111101010110011110100001111111110111
ph1in09st1de3mh0ms0btlneck.req;1;55.26;34.3;1412.83;140.5;238.5;1881.39;100101110011111101011110101100111100100000100010100001101001
ph1in09st1de3mh0ms0btlneck.req;2;43.18;55.14;1100.05;145.18;218.75;1562.3;101110010111110101011101111111111111110001000000111111010001
ph1in09st1de3mh0ms0high.req;1;27.08;272.81;24.0;60.0;150.0;533.89;101101101111101100000000111101000001101100110111101100100111
ph1in09st1de3mh0ms0high.req;2;119.14;9.6;24.0;81.45;150.0;384.19;100001101000111111111101111100111011001111111110110100111000
ph1in09st1de3mh0ms0low.req;1;523.21;350.78;423.88;678.07;1473.75;3449.69;101111111111101101111111101101111111111101111111111101100011
ph1in09st1de3mh0ms0low.req;2;478.92;303.86;451.11;691.82;1348.25;3273.96;111111111111110111111111101111111101111111011101111111111111
ph1in09st1de3mh0ms0rand.req;1;443.45;138.17;147.67;375.81;1170.55;2275.65;111111111111111011111001111010111001111101101101111111111001
ph1in09st1de3mh0ms0rand.req;2;443.45;130.72;150.81;360.8;1196.7;2282.48;111111111111111011011111111011011010111011111011011111111100
ph1in10st2de3mh0ms0btlneck.req;1;99.06;118.05;3145.15;247.5;247.5;3857.26;010000110011110110111000110110000111100101000111101101001011
ph1in10st2de3mh0ms0btlneck.req;2;320.39;24.0;3433.9;200.5;200.5;4179.29;000010110000111100111011100000000000101110001001101101100001
ph1in10st2de3mh0ms0high.req;1;130.47;76.64;60.0;150.0;150.0;567.11;010001100011100000110010100000100111101110101010111111110110
ph1in10st2de3mh0ms0high.req;2;30.13;133.78;220.05;150.0;150.0;683.96;111101110111100011110110100100000101110101100111100101111110
ph1in10st2de3mh0ms0low.req;1;978.01;663.77;846.1;1438.75;1353.25;5279.88;110111111111010111111111111110111111100101101111011111101111
ph1in10st2de3mh0ms0low.req;2;890.83;523.4;768.55;1370.75;1468.75;5022.28;111111111111111111111111111111111111111100111111011101110011
ph1in10st2de3mh0ms0rand.req;1;108.4;137.13;644.85;557.95;648.3;2096.63;111111011101111111111111011011111101110111110100110111001011
ph1in10st2de3mh0ms0rand.req;2;193.32;193.88;461.15;579.6;642.75;2070.7;100110101111111010101111111111111011001110110010111111110000
ph1in11st3de3mh0ms0btlneck.req;1;980.56;150.0;3050.0;200.5;200.5;4581.56;111000000000111001110010100000101000101011001100100111111000
ph1in11st3de3mh0ms0btlneck.req;2;79.84;258.25;3637.95;200.5;200.5;4377.04;111001110111110100101000100000000000110000111110110000011011
ph1in11st3de3mh0ms0high.req;1;311.76;150.0;60.0;150.0;150.0;821.76;000011100010101000100011100011101011100101110010101111110011
ph1in11st3de3mh0ms0high.req;2;238.72;150.0;60.0;150.0;187.5;786.22;100010100100100000101101100110101111101111101111110011110011
ph1in11st3de3mh0ms0low.req;1;1397.52;1458.75;934.65;1391.0;1398.5;6580.42;111101111111111000111011110111111011110101111111111100111011
ph1in11st3de3mh0ms0low.req;2;1504.0;1365.75;912.65;1318.0;1320.5;6420.9;011101111111111011110111011111101111111111101111111111110111
ph1in11st3de3mh0ms0rand.req;1;1264.64;1200.0;358.95;611.05;517.5;3952.14;111111111111111111011111110110010100111011110101100111011111
ph1in11st3de3mh0ms0rand.req;2;1264.64;1311.75;350.7;569.5;517.5;4014.09;111111111111101101011110110101010010111001101010101111010010
